Chemical Shift (ppm),Intensity
4.720014381154037,1478.662109375
11.182160849883168,4252.080078124996
11.219545168297294,4145.410156249996
18.336159964588184,7523.291015624993
23.973262038186316,10012.255859374993
26.165342527015163,10841.910807291655
30.489537547459086,12572.333984374993
30.90748667494156,12856.787109374993
32.00454649167637,13070.126953124984
31.3289099007009,12856.787109374993
32.76480758524384,13212.353515624993
31.79111601927567,12856.787109374993
29.30335955753501,11790.087890624993
31.00264675817754,12145.654296874993
32.39606226270441,12856.787109374993
31.69369021977216,12619.742838541655
33.39718517919723,12856.787109374993
35.12171893253501,14812.402343749984
35.692679431950886,15167.968749999984
40.95971451518687,17558.16514756943
48.354408221378456,20821.474609374985
55.72025180709691,23997.86783854165
54.06537264529784,23168.212890624975
53.36526631863311,22812.646484374975
55.28206228095788,23523.779296874975
62.845589611017736,27257.226562499975
69.46261397031972,30190.64941406248
80.9814021885951,35293.02734374997
87.31158686842863,38102.00195312496
94.51928345867395,41230.98632812498
93.01983243282696,40472.44466145829
94.816545432973,41183.57747395829
93.97369898145432,40709.48893229164
95.07936852000574,40946.53320312496
101.75125558035704,44502.19726562496
110.0901919356015,48128.97460937496
109.37150673554308,47702.29492187496
110.67202787310148,48235.64453124996
112.17419775846948,49124.56054687496
114.86926725868852,50013.47656249996
119.56949565566572,51880.20019531246
120.59554145110133,52443.18033854164
119.36558119158865,51969.09179687496
119.93144382940258,51791.30859374996
119.72583007812486,51791.30859374996
119.6000828252773,51791.30859374996
120.41370153694496,51791.30859374996
120.2628048335279,51791.30859374996
120.11326755987132,51791.30859374996
121.23001393350842,51969.09179687496
121.74571613062191,51791.30859374996
121.85333765332928,52324.65820312496
123.19917311623814,53746.92382812496
129.63437374507137,56680.34667968745
128.16335745838185,56117.36653645829
126.32501192182008,55391.4184570312
133.99304541471946,58369.28710937495
138.990309214369,60787.13867187495
137.55928281980124,60265.64127604162
138.24126341632575,60680.46874999995
143.62290598076063,62991.65039062495
144.45385742187483,63080.54199218745
144.62378614193906,62991.65039062495
144.83449775481873,63169.43359374995
145.4031925379671,62991.65039062495
146.40463912821244,63702.78320312495
147.18631124050802,64413.91601562495
150.90775020991512,66191.74804687494
150.55769704658277,66132.4869791666
155.9546331958234,68325.14648437494
157.65807420962307,69214.06249999994
162.99817864248666,71658.58154296869
171.61016617534295,75436.47460937494
171.77669632100591,75436.47460937494
171.40081399222382,75169.79980468744
172.33576181001732,75436.47460937494
179.85793981819486,79110.6608072916
184.3259322977509,80947.75390624994
190.3787933064396,83792.28515624994
202.29759373174625,89066.5201822916
203.44404616311311,89540.60872395826
212.43214259637824,93570.36132812493
219.37882867260487,96651.93684895826
228.08682593229747,100503.90624999993
234.266283837434,103081.7626953124
237.52721597546704,104379.58007812493
233.0003148729553,102459.52148437493
237.21964499215068,104059.57031249993
237.00383551766907,104059.57031249993
237.5408102730721,104059.57031249993
237.3912729994156,104059.57031249993
237.84838125638845,104059.57031249993
238.1661479629086,103881.78710937493
238.8934428847836,104592.91992187493
240.8000431239045,106015.18554687493
241.46956228095763,106370.75195312493
246.3061112733642,108583.16514756938
255.92407682900085,112849.96202256937
261.0181622371492,115022.86783854156
265.8458371741746,117037.74414062493
266.6425115648987,117251.08398437493
262.78542092581745,115615.47851562493
266.40320337598536,116948.8525390624
266.4218955351924,117037.74414062493
263.88655903183377,115971.04492187493
266.592673898857,116859.96093749993
266.79573871933377,117037.74414062493
267.597802278037,117037.74414062493
269.670932662821,118815.57617187493
271.5540575639478,119763.75325520826
277.79284576701195,122549.02343749993
283.5133261992549,125037.98828124993
289.3677104629086,127562.50976562493
288.932353082104,127171.38671874993
287.7853342216702,126756.55924479156
289.18554687499966,127171.38671874993
287.0784307462029,126282.47070312493
289.853933173919,127349.16992187493
289.60017295195644,126993.60351562493
295.84966576529087,130549.26757812493
303.4527622115943,133927.1484374999
